,chi_sq_dof,chi_sq_rel_like
b2ce16,17.021111784254998,2.2833981263376196e-07
5a469c,192.5025535690265,1.40591737052746e-83
ee0976,189.49490087475792,2.845553566162742e-82
f9e0cc,22.347841494225595,1.109717208467453e-09
079570,81.54381787855766,2.1713329664786306e-35
7e236d,17.889255166349002,9.584109346670628e-08
702738,22.717265636392284,7.66961306721368e-10
342366,72.42137511583907,1.988625387446641e-31
a8c525,5.00977400541452,0.03758714661343179
38aad6,29.847732427755023,6.138341883650764e-13
8b7223,44.91101074158448,1.7625945476120745e-19
a20be4,218.23943328481704,9.344906379531149e-95
289af7,21.34160982553311,3.0353807946837356e-09
9b4788,166.86891822445043,1.9076828616051383e-72
ca4771,133.06046069333473,9.190364270795684e-58
c6e5a2,100.17743786975959,1.7548826735108246e-43
c52d3c,147.27438180876493,6.170284924437656e-64
b784f0,32.00144873312568,7.12367284751405e-14
b11e17,158.10494310432418,1.2208216214399032e-68
eeac00,71.08826621133043,7.54249134447504e-31
f473a2,124.92645275038542,3.132474114703486e-54
e37887,134.01737791964516,3.5297898867544695e-58
8e50fc,6.061009555381956,0.013136920128742787
e7875d,148.37462843519256,2.0534029436371685e-64
b7c9a6,145.38240031121035,4.0924402096244257e-63
44a807,140.19018303277073,7.36094641055314e-61
4100f7,162.17887177831844,2.0766699065429662e-70
769cdd,27.863383469029138,4.465220154794187e-12
4b1c8e,81.56999426726418,2.1152327643855675e-35
cefc21,89.49973044445127,7.612328129037734e-39
3fddac,51.64365585738689,2.0999154068810873e-22
f9460c,4.006641465597374,0.10249301873773135
148229,41.67809001736342,4.468811678415008e-18
